id,repeat,method,dataset,apc,concurrency,number,max_tokens,kv_dtype,kv_cache_memory_bytes_requested,kv_pool_budget_source,gpu_memory_utilization_requested,block_size,max_model_len,max_num_seqs,max_num_batched_tokens,enable_prefix_caching,cache_start_protocol,evalscope_random_prefix_length,independent_prefix_cache_bytes,prefix_capacity_control,input_variant,shared_prefix_file,shared_prefix_sha256,thinking,temperature,top_p,top_k,seed_base,ignore_eos,min_tokens,stop,eager,status,attempt_path,error,requests_expected,requests_recorded,succeeded,failed,unmatched_rows,duplicate_rows,request_window_s,rps,output_tok_s,length_capped,length_capped_fraction,natural_stops,missing_finish_reason,token_usage_missing,missing_final_answer,request_multiset_sha256,outputs_jsonl,latency_population,quantile_method,e2e_s_n,e2e_s_avg,e2e_s_p50,e2e_s_p95,e2e_s_p99,e2e_s_max,ttft_ms_n,ttft_ms_avg,ttft_ms_p50,ttft_ms_p95,ttft_ms_p99,ttft_ms_max,tpot_ms_n,tpot_ms_avg,tpot_ms_p50,tpot_ms_p95,tpot_ms_p99,tpot_ms_max,input_tokens_n,input_tokens_avg,input_tokens_p50,input_tokens_p95,input_tokens_p99,input_tokens_max,output_tokens_n,output_tokens_avg,output_tokens_p50,output_tokens_p95,output_tokens_p99,output_tokens_max,measurement_complete,native_prefix_queries_before,native_prefix_hits_before,native_prefix_queries_after,native_prefix_hits_after,preemptions_delta,prefix_hit_ratio_source,telemetry_samples,telemetry_scope,sampled_memory_used_mib_max,sampled_memory_used_mib_avg,sampled_gpu_util_pct_max,sampled_gpu_util_pct_avg,sampled_temperature_c_max,sampled_temperature_c_avg,sampled_power_w_max,sampled_power_w_avg,sampled_sm_clock_mhz_max,sampled_sm_clock_mhz_avg,sampled_memory_clock_mhz_max,sampled_memory_clock_mhz_avg,sampled_kv_usage_fraction_max,sampled_requests_waiting_max,sampled_requests_running_max,kv_capacity_tokens_single_gpu_log,available_kv_memory_native_value,available_kv_memory_native_unit,num_gpu_blocks_log,prefix_native_last_percent,prefix_native_last_is_run_aggregate,server_folder,native_prefix_stats_path,cache_config_path,request_manifest_path,shared_prefix_tokens_local,pilot_eligible
r01_fp16_humaneval_apc0_C2,1,fp16,humaneval,0,2,32,8192,auto,,gpu_memory_utilization,0.85,128,32768,16,1024,False,APC-off,,,shared_vllm_KV_pool_no_independent_quota,native-evalscope-prompt,,,True,0.6,0.95,20,20260918,False,0,[],False,ok,/home/wanglin/kvbench-3090-cu126/results/real/pipeline01/pilot/points/r01_fp16_humaneval_apc0_C2/attempt001,,32,32,32,0,0,0,523.6525225061923,0.0611092253444107,150.2236628661896,1,0.03125,31,0,32,1,8a63ffb6b11972a9d3eb25ffc8f3d5bf1ab462a293970452619654e016ccb1f7,/home/wanglin/kvbench-3090-cu126/results/real/pipeline01/pilot/points/r01_fp16_humaneval_apc0_C2/attempt001/requests.jsonl,successful measured requests,nearest-rank; censored length-cap samples retained,32,32.058021623815876,25.600427523255348,106.6082901507616,108.97209943272173,108.97209943272173,32,90.49920015968382,89.79729190468788,125.81095844507217,145.22894099354744,145.22894099354744,32,12.926680754087835,12.823770403022497,13.57833609192211,13.656090838481592,13.656090838481592,32,182.375,159.0,344.0,355.0,355.0,32,2458.28125,2008.0,7976.0,8192.0,8192.0,True,0.0,0.0,0.0,0.0,0.0,vLLM log lines; no client-side prompt-similarity or ratio estimate,266,"measured EvalScope CLI window; includes client setup/report, excludes explicit warmup",20287.0,20287.0,100.0,98.1203007518797,67.0,65.86466165413533,349.7,345.2831203007519,1920.0,1868.345864661654,9501.0,9501.0,0.11764705882352944,0.0,2.0,84992,11.68,GiB,,0.0,False,/home/wanglin/kvbench-3090-cu126/results/real/pipeline01/pilot/servers/1789710695129339568_1_fp16,/home/wanglin/kvbench-3090-cu126/results/real/pipeline01/pilot/points/r01_fp16_humaneval_apc0_C2/attempt001/native_prefix_stats.json,/home/wanglin/kvbench-3090-cu126/results/real/pipeline01/pilot/points/r01_fp16_humaneval_apc0_C2/attempt001/server_capacity.json,/home/wanglin/kvbench-3090-cu126/results/real/pipeline01/pilot/points/r01_fp16_humaneval_apc0_C2/attempt001/measure.manifest.json,,False
r01_fp16_humaneval_apc0_C4,1,fp16,humaneval,0,4,32,8192,auto,,gpu_memory_utilization,0.85,128,32768,16,1024,False,APC-off,,,shared_vllm_KV_pool_no_independent_quota,native-evalscope-prompt,,,True,0.6,0.95,20,20260918,False,0,[],False,ok,/home/wanglin/kvbench-3090-cu126/results/real/pipeline01/pilot/points/r01_fp16_humaneval_apc0_C4/attempt001,,32,32,32,0,0,0,330.2573135048151,0.09689414493324595,250.3865822756242,1,0.03125,31,0,32,1,8a63ffb6b11972a9d3eb25ffc8f3d5bf1ab462a293970452619654e016ccb1f7,/home/wanglin/kvbench-3090-cu126/results/real/pipeline01/pilot/points/r01_fp16_humaneval_apc0_C4/attempt001/requests.jsonl,successful measured requests,nearest-rank; censored length-cap samples retained,32,36.04936490114778,25.08099845983088,110.57577392086387,112.58925712108612,112.58925712108612,32,96.78624768275768,90.33894911408424,141.52831956744194,144.57461424171925,144.57461424171925,32,13.706266232476938,13.388768592041377,14.905975897928768,15.759247362876607,15.759247362876607,32,182.375,159.0,344.0,355.0,355.0,32,2584.125,1874.0,7636.0,8192.0,8192.0,True,0.0,0.0,0.0,0.0,0.0,vLLM log lines; no client-side prompt-similarity or ratio estimate,170,"measured EvalScope CLI window; includes client setup/report, excludes explicit warmup",20287.0,20287.0,100.0,97.05882352941177,67.0,65.5,349.82,342.5811176470588,1890.0,1853.6470588235295,9501.0,9501.0,0.25942684766214175,0.0,4.0,84992,11.68,GiB,,0.0,False,/home/wanglin/kvbench-3090-cu126/results/real/pipeline01/pilot/servers/1789710695129339568_1_fp16,/home/wanglin/kvbench-3090-cu126/results/real/pipeline01/pilot/points/r01_fp16_humaneval_apc0_C4/attempt001/native_prefix_stats.json,/home/wanglin/kvbench-3090-cu126/results/real/pipeline01/pilot/points/r01_fp16_humaneval_apc0_C4/attempt001/server_capacity.json,/home/wanglin/kvbench-3090-cu126/results/real/pipeline01/pilot/points/r01_fp16_humaneval_apc0_C4/attempt001/measure.manifest.json,,False
r01_fp16_humaneval_apc0_C8,1,fp16,humaneval,0,8,32,8192,auto,,gpu_memory_utilization,0.85,128,32768,16,1024,False,APC-off,,,shared_vllm_KV_pool_no_independent_quota,native-evalscope-prompt,,,True,0.6,0.95,20,20260918,False,0,[],False,ok,/home/wanglin/kvbench-3090-cu126/results/real/pipeline01/pilot/points/r01_fp16_humaneval_apc0_C8/attempt001,,32,32,32,0,0,0,202.77815521880984,0.15780792544182126,396.94117896055104,1,0.03125,31,0,32,1,8a63ffb6b11972a9d3eb25ffc8f3d5bf1ab462a293970452619654e016ccb1f7,/home/wanglin/kvbench-3090-cu126/results/real/pipeline01/pilot/points/r01_fp16_humaneval_apc0_C8/attempt001/requests.jsonl,successful measured requests,nearest-rank; censored length-cap samples retained,32,37.13802988821408,27.91165293753147,87.50422682054341,118.70347636565566,118.70347636565566,32,123.55265411315486,99.75768439471722,243.49378049373627,245.77400460839272,245.77400460839272,32,14.559744771509749,14.42080673660074,16.115037905156555,16.645981314348745,16.645981314348745,32,182.375,159.0,344.0,355.0,355.0,32,2515.34375,2014.0,5733.0,8192.0,8192.0,True,0.0,0.0,0.0,0.0,0.0,vLLM log lines; no client-side prompt-similarity or ratio estimate,106,"measured EvalScope CLI window; includes client setup/report, excludes explicit warmup",20325.0,20323.924528301886,100.0,95.33018867924528,67.0,64.54716981132076,349.5,338.76047169811324,1905.0,1834.245283018868,9501.0,9501.0,0.34238310708898945,0.0,8.0,84992,11.68,GiB,,0.0,False,/home/wanglin/kvbench-3090-cu126/results/real/pipeline01/pilot/servers/1789710695129339568_1_fp16,/home/wanglin/kvbench-3090-cu126/results/real/pipeline01/pilot/points/r01_fp16_humaneval_apc0_C8/attempt001/native_prefix_stats.json,/home/wanglin/kvbench-3090-cu126/results/real/pipeline01/pilot/points/r01_fp16_humaneval_apc0_C8/attempt001/server_capacity.json,/home/wanglin/kvbench-3090-cu126/results/real/pipeline01/pilot/points/r01_fp16_humaneval_apc0_C8/attempt001/measure.manifest.json,,False
r01_fp16_math_500_apc0_C2,1,fp16,math_500,0,2,32,16384,auto,,gpu_memory_utilization,0.85,128,32768,16,1024,False,APC-off,,,shared_vllm_KV_pool_no_independent_quota,native-evalscope-prompt,,,True,0.6,0.95,20,20260918,False,0,[],False,ok,/home/wanglin/kvbench-3090-cu126/results/real/pipeline01/pilot/points/r01_fp16_math_500_apc0_C2/attempt001,,32,32,32,0,0,0,1178.4234208278358,0.027154925330251992,134.78601765095547,2,0.0625,30,0,32,2,daf827f87f37ed03562b4c623d7468c531662e534aacbaec6068115e868dee20,/home/wanglin/kvbench-3090-cu126/results/real/pipeline01/pilot/points/r01_fp16_math_500_apc0_C2/attempt001/requests.jsonl,successful measured requests,nearest-rank; censored length-cap samples retained,32,68.02132346358849,45.63546556793153,223.4731464125216,234.592951470986,234.592951470986,32,107.48543444788083,97.45459444820881,211.58481389284134,212.9556555300951,212.9556555300951,32,13.372774491317594,13.23224441848375,14.749920862686709,15.271329374254984,15.271329374254984,32,85.125,66.0,202.0,338.0,338.0,32,4963.59375,3459.0,16384.0,16384.0,16384.0,True,0.0,0.0,0.0,0.0,0.0,vLLM log lines; no client-side prompt-similarity or ratio estimate,594,"measured EvalScope CLI window; includes client setup/report, excludes explicit warmup",20239.0,20237.882154882154,100.0,99.14141414141415,66.0,65.28451178451178,349.85,347.1070707070707,1920.0,1860.4292929292928,9501.0,9501.0,0.28205128205128205,0.0,2.0,84992,11.68,GiB,,0.0,False,/home/wanglin/kvbench-3090-cu126/results/real/pipeline01/pilot/servers/1789710695129339568_1_fp16,/home/wanglin/kvbench-3090-cu126/results/real/pipeline01/pilot/points/r01_fp16_math_500_apc0_C2/attempt001/native_prefix_stats.json,/home/wanglin/kvbench-3090-cu126/results/real/pipeline01/pilot/points/r01_fp16_math_500_apc0_C2/attempt001/server_capacity.json,/home/wanglin/kvbench-3090-cu126/results/real/pipeline01/pilot/points/r01_fp16_math_500_apc0_C2/attempt001/measure.manifest.json,,False
r01_fp16_math_500_apc0_C4,1,fp16,math_500,0,4,32,16384,auto,,gpu_memory_utilization,0.85,128,32768,16,1024,False,APC-off,,,shared_vllm_KV_pool_no_independent_quota,native-evalscope-prompt,,,True,0.6,0.95,20,20260918,False,0,[],False,ok,/home/wanglin/kvbench-3090-cu126/results/real/pipeline01/pilot/points/r01_fp16_math_500_apc0_C4/attempt001,,32,32,32,0,0,0,742.1018833164126,0.04312076376493448,222.98824961941745,2,0.0625,30,0,32,2,daf827f87f37ed03562b4c623d7468c531662e534aacbaec6068115e868dee20,/home/wanglin/kvbench-3090-cu126/results/real/pipeline01/pilot/points/r01_fp16_math_500_apc0_C4/attempt001/requests.jsonl,successful measured requests,nearest-rank; censored length-cap samples retained,32,80.99344499217113,47.23748442903161,270.0094512645155,284.3298994451761,284.3298994451761,32,122.79153522104025,109.65357534587383,209.64276045560837,216.04283712804317,216.04283712804317,32,15.283601125358201,14.944693934469363,17.372911426560286,18.81661803467051,18.81661803467051,32,85.125,66.0,202.0,338.0,338.0,32,5171.25,3254.0,16384.0,16384.0,16384.0,True,0.0,0.0,0.0,0.0,0.0,vLLM log lines; no client-side prompt-similarity or ratio estimate,376,"measured EvalScope CLI window; includes client setup/report, excludes explicit warmup",20259.0,20258.787234042553,100.0,98.66755319148936,67.0,65.64095744680851,349.77,346.0401063829787,1890.0,1842.5664893617022,9501.0,9501.0,0.5188536953242835,0.0,4.0,84992,11.68,GiB,,0.0,False,/home/wanglin/kvbench-3090-cu126/results/real/pipeline01/pilot/servers/1789710695129339568_1_fp16,/home/wanglin/kvbench-3090-cu126/results/real/pipeline01/pilot/points/r01_fp16_math_500_apc0_C4/attempt001/native_prefix_stats.json,/home/wanglin/kvbench-3090-cu126/results/real/pipeline01/pilot/points/r01_fp16_math_500_apc0_C4/attempt001/server_capacity.json,/home/wanglin/kvbench-3090-cu126/results/real/pipeline01/pilot/points/r01_fp16_math_500_apc0_C4/attempt001/measure.manifest.json,,False
r01_fp16_math_500_apc0_C8,1,fp16,math_500,0,8,32,16384,auto,,gpu_memory_utilization,0.85,128,32768,16,1024,False,APC-off,,,shared_vllm_KV_pool_no_independent_quota,native-evalscope-prompt,,,True,0.6,0.95,20,20260918,False,0,[],False,ok,/home/wanglin/kvbench-3090-cu126/results/real/pipeline01/pilot/points/r01_fp16_math_500_apc0_C8/attempt001,,32,32,32,0,0,0,545.7230245489627,0.05863780445482914,300.04048323841465,3,0.09375,29,0,32,2,daf827f87f37ed03562b4c623d7468c531662e534aacbaec6068115e868dee20,/home/wanglin/kvbench-3090-cu126/results/real/pipeline01/pilot/points/r01_fp16_math_500_apc0_C8/attempt001/requests.jsonl,successful measured requests,nearest-rank; censored length-cap samples retained,32,92.837429932144,53.53862234391272,311.78899307362735,311.78948240727186,311.78948240727186,32,2475.119511655066,130.93429245054722,9491.15851521492,9492.922272533178,9492.922272533178,32,17.537605364176503,17.52597441526144,21.369150383275393,21.380668652843685,21.380668652843685,32,85.125,66.0,202.0,338.0,338.0,32,5116.84375,3491.0,16384.0,16384.0,16384.0,True,0.0,0.0,0.0,0.0,0.0,vLLM log lines; no client-side prompt-similarity or ratio estimate,277,"measured EvalScope CLI window; includes client setup/report, excludes explicit warmup",20287.0,20286.595667870035,100.0,96.75090252707581,67.0,65.26714801444044,349.95,341.65458483754514,1905.0,1812.6714801444043,9501.0,9501.0,0.7058823529411764,0.0,8.0,84992,11.68,GiB,,0.0,False,/home/wanglin/kvbench-3090-cu126/results/real/pipeline01/pilot/servers/1789710695129339568_1_fp16,/home/wanglin/kvbench-3090-cu126/results/real/pipeline01/pilot/points/r01_fp16_math_500_apc0_C8/attempt001/native_prefix_stats.json,/home/wanglin/kvbench-3090-cu126/results/real/pipeline01/pilot/points/r01_fp16_math_500_apc0_C8/attempt001/server_capacity.json,/home/wanglin/kvbench-3090-cu126/results/real/pipeline01/pilot/points/r01_fp16_math_500_apc0_C8/attempt001/measure.manifest.json,,False
r01_kvarn_humaneval_apc0_C2,1,kvarn,humaneval,0,2,32,8192,kvarn_k4v2_g128,,gpu_memory_utilization,0.85,128,32768,16,1024,False,APC-off,,,shared_vllm_KV_pool_no_independent_quota,native-evalscope-prompt,,,True,0.6,0.95,20,20260918,False,0,[],False,ok,/home/wanglin/kvbench-3090-cu126/results/real/pipeline01/pilot/points/r01_kvarn_humaneval_apc0_C2/attempt001,,32,32,32,0,0,0,691.488274468109,0.04627699583859801,135.87359825048364,3,0.09375,29,0,32,3,8a63ffb6b11972a9d3eb25ffc8f3d5bf1ab462a293970452619654e016ccb1f7,/home/wanglin/kvbench-3090-cu126/results/real/pipeline01/pilot/points/r01_kvarn_humaneval_apc0_C2/attempt001/requests.jsonl,successful measured requests,nearest-rank; censored length-cap samples retained,32,43.13929287571227,34.33953064866364,126.2214694172144,126.61480600014329,126.61480600014329,32,188.80599446129054,177.106324583292,288.62787410616875,296.06420546770096,296.06420546770096,32,14.325925440893085,14.111388533268114,15.43124849591852,15.759879214719428,15.759879214719428,32,182.375,159.0,344.0,355.0,355.0,32,2936.09375,2433.0,8192.0,8192.0,8192.0,True,0.0,0.0,0.0,0.0,0.0,vLLM log lines; no client-side prompt-similarity or ratio estimate,350,"measured EvalScope CLI window; includes client setup/report, excludes explicit warmup",21111.0,21111.0,98.0,92.91428571428571,68.0,65.95714285714286,349.67,338.2518857142857,1920.0,1893.4714285714285,9501.0,9501.0,0.04629629629629628,0.0,2.0,359552,10.42,GiB,,0.0,False,/home/wanglin/kvbench-3090-cu126/results/real/pipeline01/pilot/servers/1789720248426414469_3_kvarn,/home/wanglin/kvbench-3090-cu126/results/real/pipeline01/pilot/points/r01_kvarn_humaneval_apc0_C2/attempt001/native_prefix_stats.json,/home/wanglin/kvbench-3090-cu126/results/real/pipeline01/pilot/points/r01_kvarn_humaneval_apc0_C2/attempt001/server_capacity.json,/home/wanglin/kvbench-3090-cu126/results/real/pipeline01/pilot/points/r01_kvarn_humaneval_apc0_C2/attempt001/measure.manifest.json,,False
r01_kvarn_humaneval_apc0_C4,1,kvarn,humaneval,0,4,32,8192,kvarn_k4v2_g128,,gpu_memory_utilization,0.85,128,32768,16,1024,False,APC-off,,,shared_vllm_KV_pool_no_independent_quota,native-evalscope-prompt,,,True,0.6,0.95,20,20260918,False,0,[],False,ok,/home/wanglin/kvbench-3090-cu126/results/real/pipeline01/pilot/points/r01_kvarn_humaneval_apc0_C4/attempt001,,32,32,32,0,0,0,423.435675079003,0.07557228141920155,227.6733059443164,2,0.0625,30,0,32,2,8a63ffb6b11972a9d3eb25ffc8f3d5bf1ab462a293970452619654e016ccb1f7,/home/wanglin/kvbench-3090-cu126/results/real/pipeline01/pilot/points/r01_kvarn_humaneval_apc0_C4/attempt001/requests.jsonl,successful measured requests,nearest-rank; censored length-cap samples retained,32,49.9300985961454,37.62042900174856,139.4046856444329,141.78800523653626,141.78800523653626,32,227.45683725224808,183.74445289373398,462.30324916541576,463.10499496757984,463.10499496757984,32,16.337617713437343,16.233626049213054,17.73511532598242,18.807504418406662,18.807504418406662,32,182.375,159.0,344.0,355.0,355.0,32,3012.65625,2280.0,8192.0,8192.0,8192.0,True,0.0,0.0,0.0,0.0,0.0,vLLM log lines; no client-side prompt-similarity or ratio estimate,216,"measured EvalScope CLI window; includes client setup/report, excludes explicit warmup",21111.0,21111.0,98.0,89.25925925925925,67.0,65.31481481481481,349.77,331.2630555555556,1920.0,1893.9583333333333,9501.0,9501.0,0.05733618233618232,0.0,4.0,359552,10.42,GiB,,0.0,False,/home/wanglin/kvbench-3090-cu126/results/real/pipeline01/pilot/servers/1789720248426414469_3_kvarn,/home/wanglin/kvbench-3090-cu126/results/real/pipeline01/pilot/points/r01_kvarn_humaneval_apc0_C4/attempt001/native_prefix_stats.json,/home/wanglin/kvbench-3090-cu126/results/real/pipeline01/pilot/points/r01_kvarn_humaneval_apc0_C4/attempt001/server_capacity.json,/home/wanglin/kvbench-3090-cu126/results/real/pipeline01/pilot/points/r01_kvarn_humaneval_apc0_C4/attempt001/measure.manifest.json,,False
r01_kvarn_humaneval_apc0_C8,1,kvarn,humaneval,0,8,32,8192,kvarn_k4v2_g128,,gpu_memory_utilization,0.85,128,32768,16,1024,False,APC-off,,,shared_vllm_KV_pool_no_independent_quota,native-evalscope-prompt,,,True,0.6,0.95,20,20260918,False,0,[],False,ok,/home/wanglin/kvbench-3090-cu126/results/real/pipeline01/pilot/points/r01_kvarn_humaneval_apc0_C8/attempt001,,32,32,32,0,0,0,256.01650096848607,0.12499194340578457,330.4357323843486,1,0.03125,31,0,32,1,8a63ffb6b11972a9d3eb25ffc8f3d5bf1ab462a293970452619654e016ccb1f7,/home/wanglin/kvbench-3090-cu126/results/real/pipeline01/pilot/points/r01_kvarn_humaneval_apc0_C8/attempt001/requests.jsonl,successful measured requests,nearest-rank; censored length-cap samples retained,32,49.37533938448178,33.132127014920115,144.47212337329984,150.3259318191558,150.3259318191558,32,648.010927834548,221.40241228044033,2196.248572319746,2196.2943393737078,2196.2943393737078,32,18.170865909532413,18.14945412714301,19.741728385733964,19.752008593682753,19.752008593682753,32,182.375,159.0,344.0,355.0,355.0,32,2643.65625,1831.0,7542.0,8192.0,8192.0,True,0.0,0.0,0.0,0.0,0.0,vLLM log lines; no client-side prompt-similarity or ratio estimate,132,"measured EvalScope CLI window; includes client setup/report, excludes explicit warmup",21169.0,21167.242424242424,98.0,84.03787878787878,67.0,63.96212121212121,349.36,321.52469696969695,1920.0,1885.0,9501.0,9501.0,0.08618233618233617,1.0,8.0,359552,10.42,GiB,,0.0,False,/home/wanglin/kvbench-3090-cu126/results/real/pipeline01/pilot/servers/1789720248426414469_3_kvarn,/home/wanglin/kvbench-3090-cu126/results/real/pipeline01/pilot/points/r01_kvarn_humaneval_apc0_C8/attempt001/native_prefix_stats.json,/home/wanglin/kvbench-3090-cu126/results/real/pipeline01/pilot/points/r01_kvarn_humaneval_apc0_C8/attempt001/server_capacity.json,/home/wanglin/kvbench-3090-cu126/results/real/pipeline01/pilot/points/r01_kvarn_humaneval_apc0_C8/attempt001/measure.manifest.json,,False
r01_kvarn_math_500_apc0_C2,1,kvarn,math_500,0,2,32,16384,kvarn_k4v2_g128,,gpu_memory_utilization,0.85,128,32768,16,1024,False,APC-off,,,shared_vllm_KV_pool_no_independent_quota,native-evalscope-prompt,,,True,0.6,0.95,20,20260918,False,0,[],False,ok,/home/wanglin/kvbench-3090-cu126/results/real/pipeline01/pilot/points/r01_kvarn_math_500_apc0_C2/attempt001,,32,32,32,0,0,0,1323.244232404977,0.02418298845848016,120.10783505259903,2,0.0625,30,0,32,2,daf827f87f37ed03562b4c623d7468c531662e534aacbaec6068115e868dee20,/home/wanglin/kvbench-3090-cu126/results/real/pipeline01/pilot/points/r01_kvarn_math_500_apc0_C2/attempt001/requests.jsonl,successful measured requests,nearest-rank; censored length-cap samples retained,32,76.66300300630974,52.95170042105019,241.20466555655003,274.6856561899185,274.6856561899185,32,167.71184536628425,158.26687961816788,238.05464804172516,270.18314599990845,270.18314599990845,32,15.037960810942527,14.561678083498155,16.85889339995044,17.913629249062225,17.913629249062225,32,85.125,66.0,202.0,338.0,338.0,32,4966.625,3723.0,16384.0,16384.0,16384.0,True,0.0,0.0,0.0,0.0,0.0,vLLM log lines; no client-side prompt-similarity or ratio estimate,666,"measured EvalScope CLI window; includes client setup/report, excludes explicit warmup",21063.0,21062.630630630632,99.0,93.95495495495496,66.0,64.80630630630631,350.4,338.9721771771772,1935.0,1894.8198198198197,9501.0,9501.0,0.06267806267806264,0.0,2.0,359552,10.42,GiB,,0.0,False,/home/wanglin/kvbench-3090-cu126/results/real/pipeline01/pilot/servers/1789720248426414469_3_kvarn,/home/wanglin/kvbench-3090-cu126/results/real/pipeline01/pilot/points/r01_kvarn_math_500_apc0_C2/attempt001/native_prefix_stats.json,/home/wanglin/kvbench-3090-cu126/results/real/pipeline01/pilot/points/r01_kvarn_math_500_apc0_C2/attempt001/server_capacity.json,/home/wanglin/kvbench-3090-cu126/results/real/pipeline01/pilot/points/r01_kvarn_math_500_apc0_C2/attempt001/measure.manifest.json,,False
r01_kvarn_math_500_apc0_C4,1,kvarn,math_500,0,4,32,16384,kvarn_k4v2_g128,,gpu_memory_utilization,0.85,128,32768,16,1024,False,APC-off,,,shared_vllm_KV_pool_no_independent_quota,native-evalscope-prompt,,,True,0.6,0.95,20,20260918,False,0,[],False,ok,/home/wanglin/kvbench-3090-cu126/results/real/pipeline01/pilot/points/r01_kvarn_math_500_apc0_C4/attempt001,,32,32,32,0,0,0,931.0057745035738,0.03437143020628726,183.94837571369177,3,0.09375,29,0,32,2,daf827f87f37ed03562b4c623d7468c531662e534aacbaec6068115e868dee20,/home/wanglin/kvbench-3090-cu126/results/real/pipeline01/pilot/points/r01_kvarn_math_500_apc0_C4/attempt001/requests.jsonl,successful measured requests,nearest-rank; censored length-cap samples retained,32,98.08899880078388,55.65381803549826,312.4693582504988,334.369887560606,334.369887560606,32,180.83174026105553,167.74005442857742,260.6387734413147,344.5452731102705,344.5452731102705,32,18.246681033671887,18.10609106001126,20.874312266673773,22.582965669730502,22.582965669730502,32,85.125,66.0,202.0,338.0,338.0,32,5351.78125,3162.0,16384.0,16384.0,16384.0,True,0.0,0.0,0.0,0.0,0.0,vLLM log lines; no client-side prompt-similarity or ratio estimate,470,"measured EvalScope CLI window; includes client setup/report, excludes explicit warmup",21065.0,21064.76595744681,99.0,91.84042553191489,66.0,64.82765957446809,350.31,336.92921276595746,1920.0,1895.8085106382978,9501.0,9501.0,0.11217948717948723,0.0,4.0,359552,10.42,GiB,,0.0,False,/home/wanglin/kvbench-3090-cu126/results/real/pipeline01/pilot/servers/1789720248426414469_3_kvarn,/home/wanglin/kvbench-3090-cu126/results/real/pipeline01/pilot/points/r01_kvarn_math_500_apc0_C4/attempt001/native_prefix_stats.json,/home/wanglin/kvbench-3090-cu126/results/real/pipeline01/pilot/points/r01_kvarn_math_500_apc0_C4/attempt001/server_capacity.json,/home/wanglin/kvbench-3090-cu126/results/real/pipeline01/pilot/points/r01_kvarn_math_500_apc0_C4/attempt001/measure.manifest.json,,False
r01_kvarn_math_500_apc0_C8,1,kvarn,math_500,0,8,32,16384,kvarn_k4v2_g128,,gpu_memory_utilization,0.85,128,32768,16,1024,False,APC-off,,,shared_vllm_KV_pool_no_independent_quota,native-evalscope-prompt,,,True,0.6,0.95,20,20260918,False,0,[],False,ok,/home/wanglin/kvbench-3090-cu126/results/real/pipeline01/pilot/points/r01_kvarn_math_500_apc0_C8/attempt001,,32,32,32,0,0,0,690.4501196928322,0.04634657752573955,262.15941577434575,3,0.09375,29,0,32,3,daf827f87f37ed03562b4c623d7468c531662e534aacbaec6068115e868dee20,/home/wanglin/kvbench-3090-cu126/results/real/pipeline01/pilot/points/r01_kvarn_math_500_apc0_C8/attempt001/requests.jsonl,successful measured requests,nearest-rank; censored length-cap samples retained,32,126.88854913867544,80.3133794721216,391.0705857630819,391.0709698908031,391.0709698908031,32,299.28800044581294,184.49736386537552,617.4584366381168,618.1258540600538,618.1258540600538,32,22.119334345425873,21.58119863470995,27.911191836223686,28.00372475885574,28.00372475885574,32,85.125,66.0,202.0,338.0,338.0,32,5656.5,3906.0,16384.0,16384.0,16384.0,True,0.0,0.0,0.0,0.0,0.0,vLLM log lines; no client-side prompt-similarity or ratio estimate,350,"measured EvalScope CLI window; includes client setup/report, excludes explicit warmup",21111.0,21110.474285714285,99.0,88.86857142857143,66.0,63.81142857142857,349.83,330.5411142857143,1920.0,1881.942857142857,9501.0,9501.0,0.18803418803418803,0.0,8.0,359552,10.42,GiB,,0.0,False,/home/wanglin/kvbench-3090-cu126/results/real/pipeline01/pilot/servers/1789720248426414469_3_kvarn,/home/wanglin/kvbench-3090-cu126/results/real/pipeline01/pilot/points/r01_kvarn_math_500_apc0_C8/attempt001/native_prefix_stats.json,/home/wanglin/kvbench-3090-cu126/results/real/pipeline01/pilot/points/r01_kvarn_math_500_apc0_C8/attempt001/server_capacity.json,/home/wanglin/kvbench-3090-cu126/results/real/pipeline01/pilot/points/r01_kvarn_math_500_apc0_C8/attempt001/measure.manifest.json,,False
